episode,return
1,-210.99531127964195
2,-89.59953607190111
3,-123.25877372550706
4,-191.68894592743598
5,-193.952404539516
6,-87.21523505466573
7,-77.77067141789826
8,-104.61262006557615
9,-114.09936306187727
10,-91.42161651185496
11,-311.55118648244303
12,-123.73304414492685
13,-129.6467603230465
14,-88.73182459289123
15,-115.73230889429288
16,-124.34641034222044
17,-241.27476785363288
18,-356.70248882186735
19,-421.1776200289935
20,-96.32367708894321
21,-77.17823665650243
22,-125.24700876694433
23,-354.85812695503375
24,-333.3409313143645
25,-326.7826330243983
26,6.4178531848005065
27,-141.99151072822974
28,-195.68812390465945
29,-66.8761951046819
30,-332.10853856207507
31,-90.70250205697802
32,-46.37987382930168
33,-232.5202965642688
34,-365.9940727691933
35,-119.11672664439362
36,-272.1696315124874
37,-119.23532178864781
38,-137.5242385535327
39,-99.33366080181142
40,-182.03132064073338
41,-401.35831052267315
42,-201.94740221405436
43,-421.6467199421476
44,-426.90943432506924
45,-98.48319450683618
46,-416.53562735421036
47,-379.9592880303751
48,-370.78717542166726
49,-72.22151892040058
50,-106.40929161397531
51,-81.44591029896863
52,-124.05048432901671
53,-219.88104003545908
54,-324.2790968091164
55,-89.64194368259311
56,-303.649492144994
57,-184.26417824407847
58,-436.34416145708167
59,-443.2822300213776
60,-378.8665597485579
61,-238.06394248108373
62,-135.84552991233596
63,-77.85379093139176
64,-98.11313995858768
65,-108.76180478264487
66,-151.677366443554
67,-305.2188528450927
68,-334.6675287756489
69,-122.2266944272884
70,-69.29930046848983
71,-469.06524760844826
72,-186.13724428222787
73,-174.08070870213476
74,-226.24670846007973
75,-107.11598376667533
76,-273.6649692937475
77,-156.96767410674346
78,-211.7428432723013
79,-356.7291113605262
80,-153.52880014143787
81,-149.34032661076174
82,-92.04682922987877
83,-136.04807652751674
84,-265.8357265515042
85,-192.29678625414022
86,-107.97916155021345
87,-39.8459139675478
88,-221.56391425510668
89,-201.22685856559536
90,-220.16980149775435
91,-61.452159011765794
92,-303.7639695093838
93,-118.43935227040416
94,-159.57206732520575
95,-98.67674660581592
96,-374.6848463812026
97,-281.67255807613134
98,-68.78687158600675
99,-418.5351454726276
100,-254.2328073537214
