episode,return
1,278.2720669192621
2,290.4990630103252
3,294.2105129262815
4,294.65343366469244
5,259.4460727687945
6,286.6650397091689
7,268.26575686815175
8,267.1299811631019
9,299.5043946693613
10,278.60419237086643
11,295.8175305380156
12,324.83426414271787
13,278.43860115651626
14,292.84318686115114
15,265.5833929883645
16,322.2961915838825
17,302.8524207160812
18,286.5326154166573
19,292.34454994598275
20,257.2773405282618
21,285.4480705930607
22,288.67168479382735
23,257.14335641174347
24,316.8275735735184
25,278.4075542238178
26,304.2753512145483
27,256.34972000108996
28,313.3225572109392
29,297.57565512872804
30,249.89680581806877
31,286.30029010946106
32,317.16852575927743
33,274.2043453899869
34,297.6474589641129
35,293.1173516074882
36,317.4695064693324
37,284.94044420313526
38,307.69367964272925
39,306.4140532915625
40,287.37705488141796
41,318.6655738040015
42,309.033742676526
43,282.2318745672532
44,263.16814860570173
45,251.75681406378544
46,253.69966121967957
47,269.52812119661564
48,297.86978514300176
49,267.41054194627185
50,298.93228373400996
51,318.26882078082946
52,252.78903697572696
53,295.57823787746537
54,259.9898437944265
55,272.7465229361612
56,273.0909752809923
57,259.52982385935263
58,265.925417222546
59,312.1775780266119
60,282.42267706945563
61,269.99686275635196
62,261.84648650582574
63,280.224569083476
64,288.6984211896355
65,259.38478847873944
66,256.6082013752751
67,275.632926478896
68,306.1320470043581
69,284.80281218750565
70,308.5672970206701
71,282.3020748690534
72,267.3000292956791
73,255.97095463044465
74,305.4898231938171
75,289.60898446084707
76,257.91501506408514
77,274.8420310802944
78,250.54555677315082
79,258.99060253052414
80,272.02681619241787
81,268.8731698879645
82,284.70060540098143
83,239.88103100427998
84,237.95202678461456
85,258.1055795240293
86,295.3361295218277
87,283.5207174553761
88,308.36466672204614
89,296.7784580722571
90,256.6949774231041
91,272.6507537584787
92,269.07071781496245
93,262.90140548930765
94,266.7494927494638
95,258.4020724140279
96,293.52145724888436
97,236.56249035524627
98,294.26530275300956
99,275.54873368028245
100,250.50844886214392
