episode,return
1,279.321835376522
2,298.8328341291328
3,288.6168857902593
4,263.21896893004555
5,295.5857706417481
6,290.4394755766874
7,286.7633802014906
8,284.31128782783895
9,253.41192057939926
10,266.0214150167951
11,255.87652721605085
12,166.08173895937904
13,281.15362552041245
14,295.31680731371443
15,248.57212325806663
16,277.9354854188342
17,291.3534265465826
18,260.5156679404291
19,285.5012983696812
20,246.0594285242442
21,277.3397748880417
22,289.24201863540065
23,269.97686466843015
24,279.7999837846687
25,280.39145558139006
26,295.815759357007
27,266.855398176186
28,297.92652865878745
29,294.64547531284154
30,268.7036503910481
31,280.41945782361387
32,308.1509637139721
33,304.24501722574064
34,256.7164572358007
35,264.0320264687793
36,262.61001016644025
37,272.631581932079
38,271.714733005619
39,281.59068589660137
40,300.0076262049254
41,258.5249601469667
42,299.7935322368386
43,296.1401663987913
44,238.11931965626204
45,284.40493991113715
46,262.9721725785846
47,276.1690719734024
48,248.9934853824801
49,296.5338999539566
50,298.97784627006763
51,253.8488180127728
52,254.61582522499154
53,264.3942613247312
54,257.01719527588443
55,272.685021455161
56,276.5537928605775
57,286.3804233212328
58,250.53270891909142
59,262.42714642221114
60,269.0721574985625
61,302.7192706022083
62,264.511422658015
63,281.67212847674824
64,298.1662793636698
65,250.27677996750117
66,299.35276902972333
67,268.71722701783256
68,260.7938528969145
69,295.12325737835386
70,270.1783739744264
71,309.370423209082
72,303.24142394608
73,280.3911881642366
74,278.7207778227322
75,289.6569066279212
76,263.200473157743
77,290.4845330585498
78,296.5730741315033
79,278.52419723846106
80,155.26958417290163
81,281.2777090490515
82,300.58024730456964
83,293.7054456716198
84,284.7036504422099
85,274.9045237074456
86,271.1519259190676
87,264.1099976558798
88,285.00693976312436
89,247.81957601397403
90,284.12954224001146
91,273.794929602704
92,322.7930381688411
93,301.0470111695919
94,267.5484839041558
95,298.2603589564255
96,297.8986121265731
97,250.04917174567314
98,269.4908277181823
99,306.4343516875199
100,274.82781591236704
